id,activity_date,day_type,week_number,user_type,total_steps,total_steps_filtered,very_active_minutes,fairly_active_minutes,sedentary_minutes,calories,total_minutes_asleep,sleep_efficiency,type_of_sleeper,sedentary_percentage
4057192912,2016-03-13,Weekend,10,Sedentary User,0,,0,0,1440,1777,,,,100
4057192912,2016-03-14,Weekday,11,Moderate Mover,8433,8433,30,7,1268,2453,,,,88.06
4057192912,2016-03-15,Weekday,11,Sedentary User,0,,0,0,1440,1776,,,,100
4057192912,2016-03-16,Weekday,11,High Efficiency Mover,2139,2139,0,28,1397,1935,,,,97.01
4057192912,2016-03-17,Weekday,11,Sedentary User,0,,0,0,1440,1776,,,,100
4057192912,2016-03-18,Weekday,11,Sedentary User,949,949,0,0,1406,1870,,,,97.64
4057192912,2016-03-19,Weekend,11,Sedentary User,0,,0,0,1440,1777,,,,100
4057192912,2016-03-20,Weekend,11,Sedentary User,44,44,0,0,1438,1782,,,,99.86
4057192912,2016-03-21,Weekday,12,Sedentary User,2660,2660,0,0,1394,1978,,,,96.81
4057192912,2016-03-22,Weekday,12,Sedentary User,5561,5561,0,0,1271,2296,,,,88.26
4057192912,2016-03-23,Weekday,12,Moderate Mover,7239,7239,7,7,1236,2484,,,,85.83
4057192912,2016-03-24,Weekday,12,Sedentary User,7,7,0,0,1439,1787,,,,99.93
4057192912,2016-03-25,Weekday,12,Sedentary User,0,,0,0,1440,1776,,,,100
4057192912,2016-03-26,Weekend,12,Sedentary User,0,,0,0,1440,1776,,,,100
4057192912,2016-03-27,Weekend,12,Sedentary User,2275,2275,0,0,1354,2005,,,,94.03
4057192912,2016-03-28,Weekday,13,Sedentary User,8,8,0,0,1439,1778,,,,99.93
4057192912,2016-03-29,Weekday,13,Sedentary User,5137,5137,0,0,1280,2293,,,,88.89
4057192912,2016-03-30,Weekday,13,Sedentary User,5419,5419,0,0,1295,2259,,,,89.93
4057192912,2016-03-31,Weekday,13,Sedentary User,0,,0,0,1440,1776,,,,100
4057192912,2016-04-01,Weekday,13,Sedentary User,0,,0,0,1440,1776,,,,100
4057192912,2016-04-02,Weekend,13,Sedentary User,0,,0,0,1440,1776,,,,100
4057192912,2016-04-03,Weekend,13,Sedentary User,0,,0,0,1440,1776,,,,100
4057192912,2016-04-04,Weekday,14,Sedentary User,0,,0,0,1440,1776,,,,100
4057192912,2016-04-05,Weekday,14,Sedentary User,0,,0,0,1440,1776,,,,100
4057192912,2016-04-06,Weekday,14,Sedentary User,18,18,0,0,1438,1780,,,,99.86
4057192912,2016-04-07,Weekday,14,Sedentary User,4,4,0,0,1439,1778,,,,99.93
4057192912,2016-04-08,Weekday,14,High Efficiency Mover,8426,8426,2,120,1293,2360,,,,89.79
4057192912,2016-04-09,Weekend,14,Sedentary User,1650,1650,0,0,1380,1952,,,,95.83
4057192912,2016-04-10,Weekend,14,Moderate Mover,3434,3434,1,7,1324,2101,,,,91.94
4057192912,2016-04-11,Weekday,15,Sedentary User,6801,6801,0,0,1247,2393,,,,86.6
4057192912,2016-04-12,Weekday,15,Sedentary User,187,187,0,0,400,538,,,,27.78
4319703577,2016-03-29,Weekday,13,Moderate Mover,5643,5643,3,8,683,1958,,,,47.43
